lat,lon,total_cost_0,total_cost_2020,total_cost_2050,total_cost_future_2030,total_cost_future_2040,total_cost_future_2050,pop,Country
11.966945,98.518972,344458.8790462229,344458.8786712532,344339.37067755614,336021.3203742596,333846.7768594917,331603.5946067801,6320.0,Myanmar
11.970586,92.995653,264755.98212029255,264755.9821200676,264755.98212021054,264755.9821200925,264755.9800617584,264735.7165531171,5843.0,India
11.970751,121.925517,269426.37411143916,269426.3741117243,269426.37411145447,268998.18563673773,268828.90557083563,268659.22441755264,12015.0,Philippines
11.979291,120.165828,154177.20588500227,154177.20588503664,154177.2058850066,154177.205884966,154177.20588510187,154177.1588596751,282.0,Philippines
12.045776,102.339142,340759.0775616792,340759.07850096247,340621.07878392027,331513.1421893013,328572.7931273089,325543.57660346007,10596.0,Thailand
12.050495,121.385929,265192.9454723919,265192.9454723451,265192.9454724388,265069.31891471724,264940.2109972235,264794.01176280633,14795.0,Philippines
12.061455,124.189936,261364.14476020102,261364.14476014988,261364.1447601501,261351.74755084762,261338.4734673227,261297.16527925068,7671.0,Philippines
12.064027,121.937507,269591.18517254863,269591.1851725611,269591.18517256406,269103.3377601174,268913.7355686755,268723.68162061804,9974.0,Philippines
12.113748,-61.683776,192849.25033548116,192849.25033548512,192849.25033550055,190201.07356702554,189456.90480226465,188613.77313433719,100237.0,Grenada
12.118553,120.082111,273282.54380463273,273282.543804589,273282.5438045911,273282.54380427144,273282.2573686502,273279.94692569063,77915.0,Philippines
12.146353,93.068865,27391.163626698384,27624.520640323884,27391.163626698384,27620.032047817884,27617.338705786875,27612.053225404088,52.0,India
12.155939,53.045257,80444.82151585617,80444.82151584986,80444.82151602434,80058.07936358557,80175.47537117368,80071.43502765648,163.0,Yemen
12.180535,123.597628,262362.0979731736,262362.0979729215,262362.097972924,262031.66443952915,261833.00962992816,261636.66899133852,705420.0,Philippines
12.184523,-68.289634,151985.89606997743,151985.89609948214,151987.47941289042,137584.75063793722,133772.02437121872,129908.57598012805,17275.0,Netherlands Antilles
12.192036,52.229794,171340.9791383029,171340.97913824144,171340.97913840556,170735.01101005884,170372.21752019867,169570.79051858032,349.0,Yemen
12.194064,-68.972625,152678.11547415867,152678.11549292007,152678.11542671933,138517.58838395105,134893.4833405751,131215.8995984975,148908.0,Netherlands Antilles
12.207264,92.806135,263984.0395487383,263984.0395489816,263984.0395490142,263976.9068907964,263939.6608082173,263878.3229218144,6258.0,India
12.207285,92.744265,31147.30441067177,31147.304410676377,31147.304410714907,31136.97106160053,31129.3177966741,31119.02846779815,59.0,India
